ratio,test_acc_mean

-0.4298308960702894,66.5
-0.3822591322139977,66.65999999999999
-0.3319191189745441,66.72
-0.2798339050370103,66.43999999999998
-0.2256123247276885,67.03
-0.1715411927544081,67.84
-0.1144610940602997,68.42
-0.0579226093759403,70.72
0.0,78.30000000000001
0.0387855810314737,82.22
0.0764578443762412,82.6
0.1129566106998856,82.8
0.1488836733465728,82.52000000000001
0.1818017692724318,82.74
0.2140278028525004,83.09
0.2425528073659505,83.11999999999999
0.2704459288680267,83.42
0.2960522356622735,83.19999999999999
0.3202443280977312,83.44
0.3417885298188602,83.94
0.3642655112234458,84.08
0.387013299632906,84.53999999999999
 
